mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55305.350959,,,,,,,,,12.0865,0.1311,0.575,4.00,3039.91,0.0916,32.9200,561.8960,1,H
55305.353034,10.8017,0.0317,,,,,,,,,0.630,4.00,4328.48,0.0789,8.8700,1.3825,1,Ks
55305.353391,10.6980,0.0247,,,,,,,,,0.644,4.00,4320.61,0.0814,7.9900,0.4460,1,Ks
55305.356183,,,,,,,11.4278,0.0855,,,0.712,6.00,1049.62,0.1003,20.5200,14.1300,1,J
55307.242177,,,,,,,,,11.2457,0.0386,0.759,4.00,3495.79,0.0663,13.2400,77.3690,1,H
55307.242514,,,,,,,,,10.8128,0.0213,0.852,4.00,3503.40,0.0664,5.7300,2.5234,1,H
55307.244695,10.6768,0.0168,,,,,,,,,0.792,4.00,4645.19,0.0727,4.0200,0.6667,1,Ks
55307.245001,10.6508,0.0166,,,,,,,,,0.828,4.00,4646.40,0.0608,3.8800,1.6715,1,Ks
55307.247587,,,,,,,10.9982,0.0175,,,0.987,6.00,1070.19,0.0619,3.0800,0.9290,1,J
55421.178324,,,,,11.1226,0.0163,,,,,0.999,10.00,291.55,0.0621,3.3200,1.6481,1,Y
55421.178875,,,,,11.0740,0.0108,,,,,1.111,10.00,291.49,0.0685,2.4300,0.7536,1,Y
55421.182068,,,11.4156,0.0130,,,,,,,1.134,10.00,135.59,0.0509,2.5300,2.0888,1,Z
55421.182638,,,11.3650,0.0128,,,,,,,1.203,10.00,140.40,0.0482,2.2400,0.5814,1,Z
55448.095472,,,,,11.0297,0.0172,,,,,0.988,10.00,465.67,0.0619,3.8300,1.5786,1,Y
55448.099475,,,11.3343,0.0181,,,,,,,0.972,10.00,182.30,0.0788,3.8000,0.4688,1,Z
55448.100079,,,11.2702,0.0143,,,,,,,1.048,10.00,184.02,0.0623,3.8000,0.4870,1,Z
55491.021577,10.8164,0.0128,,,,,,,,,0.857,4.00,5112.73,0.1057,1.9700,2.3347,1,Ks
55491.022029,10.8068,0.0224,,,,,,,,,0.797,4.00,5107.67,0.1182,4.3600,5.7373,1,Ks
55778.145141,10.8816,0.0203,,,,,,,,,0.623,4.00,4906.86,0.1125,5.4300,0.5289,1,Ks
55778.145596,10.8527,0.0229,,,,,,,,,0.649,4.00,4922.58,0.0868,7.3200,4.3717,1,Ks
55804.109809,10.8574,0.0373,,,,,,,,,0.559,4.00,5350.98,0.0922,8.9500,2.3920,1,Ks
55807.096497,10.6817,0.0197,,,,,,,,,0.635,4.00,5815.35,0.0627,5.8700,0.0480,1,Ks
55807.096895,10.6380,0.0165,,,,,,,,,0.653,4.00,5817.72,0.0784,4.0000,0.1460,1,Ks
55818.044701,10.7989,0.0199,,,,,,,,,0.664,4.00,5427.04,0.1928,5.9100,1.1337,1,Ks
55818.045204,10.7080,0.0196,,,,,,,,,0.679,4.00,5436.35,0.1743,6.1100,1.2634,1,Ks
55819.041365,10.6299,0.0206,,,,,,,,,1.145,4.00,5429.98,0.1071,1.9800,1.3194,1,Ks
55819.041822,10.6147,0.0127,,,,,,,,,1.082,4.00,5446.74,0.1043,1.5100,3.2504,1,Ks
55820.129629,10.7112,0.0193,,,,,,,,,0.663,4.00,5600.33,0.1601,6.3400,3.2724,1,Ks
55820.130144,10.7078,0.0264,,,,,,,,,0.688,4.00,5587.02,0.1450,7.5400,0.1128,1,Ks
55824.094763,10.7385,0.0173,,,,,,,,,0.685,4.00,4973.17,0.0966,4.0100,0.3937,1,Ks
55824.095146,10.6679,0.0162,,,,,,,,,0.742,4.00,4982.95,0.0701,3.4200,1.6867,1,Ks
55831.100606,10.6047,0.0173,,,,,,,,,1.156,4.00,6926.41,0.0775,1.2200,1.6576,1,Ks
55831.101031,10.5872,0.0214,,,,,,,,,1.192,4.00,6934.99,0.0877,1.6600,1.7732,1,Ks
55832.070495,10.6829,0.0213,,,,,,,,,0.777,4.00,6362.65,0.1312,4.5200,1.4481,1,Ks
55832.070898,10.6618,0.0138,,,,,,,,,0.803,4.00,6326.01,0.1049,2.4900,0.0970,1,Ks
55840.026582,10.7463,0.0309,,,,,,,,,0.582,4.00,4862.13,0.0824,9.4000,0.5427,1,Ks
55840.026975,10.6245,0.0253,,,,,,,,,0.621,4.00,4861.48,0.0671,7.8900,0.6521,1,Ks
55842.074998,10.6902,0.0174,,,,,,,,,0.743,4.00,4945.06,0.0739,4.1600,0.2752,1,Ks
55842.075436,10.7019,0.0298,,,,,,,,,0.690,4.00,4978.75,0.1044,8.0100,0.3657,1,Ks
55846.994067,10.6717,0.0171,,,,,,,,,1.003,4.00,4152.75,0.1126,2.7600,3.1819,1,Ks
55846.994470,10.6336,0.0098,,,,,,,,,0.950,4.00,4148.08,0.0762,1.2000,3.7257,1,Ks
55857.022034,10.7699,0.0293,,,,,,,,,0.666,4.00,5237.50,0.0762,7.1500,3.8715,1,Ks
55857.022411,10.6088,0.0173,,,,,,,,,0.675,4.00,5230.49,0.0966,4.7100,0.4721,1,Ks
56011.341437,10.9733,0.0759,,,,,,,,,0.528,4.00,4830.36,0.0879,19.9300,55.5529,1,Ks
56011.341882,10.8464,0.0618,,,,,,,,,0.557,4.00,4840.52,0.0705,14.0500,1.0079,1,Ks
56063.354486,10.6058,0.0238,,,,,,,,,1.357,4.00,4130.62,0.0761,1.5000,5.7099,1,Ks
56063.354928,10.5804,0.0191,,,,,,,,,1.105,4.00,4133.19,0.0616,2.2600,2.3949,1,Ks
56069.339693,10.6190,0.0158,,,,,,,,,0.834,4.00,4619.12,0.0505,3.4300,2.6655,1,Ks
56069.340154,10.5730,0.0158,,,,,,,,,0.894,4.00,4603.67,0.0683,2.3100,6.6445,1,Ks
56069.366025,10.6484,0.0133,,,,,,,,,0.746,4.00,4903.60,0.0691,4.2300,0.8210,1,Ks
56069.367486,10.5738,0.0134,,,,,,,,,0.747,4.00,4882.19,0.0755,2.8400,0.0392,1,Ks
56069.392141,10.6055,0.0153,,,,,,,,,0.766,4.00,4927.67,0.0656,2.8100,0.0230,1,Ks
56069.392598,10.5698,0.0172,,,,,,,,,0.874,4.00,4969.65,0.0600,1.4500,0.2795,1,Ks
56074.240534,10.7224,0.0274,,,,,,,,,0.667,4.00,4293.81,0.0936,7.8100,0.7868,1,Ks
56074.241038,10.5668,0.0191,,,,,,,,,0.667,4.00,4389.08,0.0906,5.4600,1.2659,1,Ks
56076.223410,10.5955,0.0219,,,,,,,,,1.321,4.00,5618.44,0.1043,0.9600,0.2791,1,Ks
56076.223887,10.6017,0.0220,,,,,,,,,1.425,4.00,5631.97,0.0670,0.7700,2.1214,1,Ks
56086.307380,10.7998,0.0317,,,,,,,,,0.629,4.00,3946.38,0.0629,9.1000,8.3714,1,Ks
56086.307841,10.6014,0.0221,,,,,,,,,0.599,4.00,3959.96,0.0695,5.3800,3.6226,1,Ks
56088.166180,10.5847,0.0207,,,,,,,,,1.090,4.00,3986.62,0.1002,1.1100,1.8650,1,Ks
56088.166659,10.6027,0.0241,,,,,,,,,0.937,4.00,4064.64,0.0831,1.3900,1.6776,1,Ks
56090.100159,10.6484,0.0208,,,,,,,,,0.903,4.00,4280.90,0.3464,4.3600,0.3255,1,Ks
56090.100582,10.5844,0.0136,,,,,,,,,0.740,4.00,4283.35,0.1060,3.8100,0.0194,1,Ks
56091.159626,10.7850,0.0209,,,,,,,,,1.260,4.00,4121.67,0.0804,0.8000,2.3214,1,Ks
56091.160108,10.7414,0.0186,,,,,,,,,1.166,4.00,4084.50,0.0623,0.8700,4.2985,1,Ks
56093.100464,10.6399,0.0170,,,,,,,,,0.841,4.00,4521.91,0.0829,1.2400,2.7417,1,Ks
56093.100861,10.6434,0.0155,,,,,,,,,0.812,4.00,4454.11,0.0758,2.2600,0.8527,1,Ks
56093.162448,10.6425,0.0139,,,,,,,,,0.825,4.00,4179.75,0.1093,2.1500,0.1644,1,Ks
56093.162912,10.6143,0.0165,,,,,,,,,0.795,4.00,4142.12,0.0704,2.9500,2.1492,1,Ks
56094.096031,10.6526,0.0204,,,,,,,,,0.786,4.00,5301.71,0.0943,5.4400,1.4235,1,Ks
56094.096457,10.5836,0.0179,,,,,,,,,0.920,4.00,5303.38,0.1410,3.7000,2.1679,1,Ks
56099.257210,10.6233,0.0181,,,,,,,,,1.183,4.00,3572.11,0.0720,1.6700,6.1378,1,Ks
56099.257695,10.5955,0.0212,,,,,,,,,1.341,4.00,3597.45,0.0756,1.0200,2.2458,1,Ks
56100.153240,10.7459,0.0268,,,,,,,,,0.696,4.00,4371.54,0.0560,5.9800,0.5525,1,Ks
56100.153715,10.5821,0.0205,,,,,,,,,0.752,4.00,4320.35,0.0993,5.8900,0.3527,1,Ks
56102.172145,10.9039,0.0309,,,,,,,,,0.591,4.00,4638.10,0.1081,8.4200,0.7878,1,Ks
56102.172659,10.7554,0.0281,,,,,,,,,0.631,4.00,4587.67,0.1151,8.1800,0.9618,1,Ks
56104.099772,10.7306,0.0179,,,,,,,,,1.192,4.00,5622.73,0.1047,1.6400,4.7652,1,Ks
56104.100260,10.7110,0.0192,,,,,,,,,1.178,4.00,5616.49,0.0972,1.4300,1.6516,1,Ks
56104.133508,10.7248,0.0157,,,,,,,,,0.811,4.00,5178.24,0.0925,3.9500,2.3585,1,Ks
56104.133971,10.6646,0.0154,,,,,,,,,0.777,4.00,5164.12,0.0604,4.2900,1.1343,1,Ks
56106.157398,10.5974,0.0251,,,,,,,,,1.386,4.00,4662.33,0.1964,1.8200,5.1546,1,Ks
56106.157901,10.5966,0.0287,,,,,,,,,1.358,4.00,4674.69,0.2389,3.0100,0.3708,1,Ks
56107.044663,10.6611,0.0222,,,,,,,,,0.719,4.00,4922.29,0.0921,5.8200,8.3846,1,Ks
